numero_votavel,sigla_uf,nome_partido,nome_votavel,total_votos
36,PB,PTC,PTC,610
50,PB,PSOL,PSOL,1678
77,PB,SD,SD,1046
43,PB,PV,PV,780
4377,PB,PV,WALESKA CABRAL,992
1511,PB,PMDB,AUXI SILVEIRA,1070
23,PB,PPS,PPS,1721
1311,PB,PT,RICARDO AGRA,878
2820,PB,PRTB,TITELA,172
22,PB,PR,PR,2726
4344,PB,PV,ADAILTO BARROS,232
65,PB,PC do B,PC DO B,1334
1444,PB,PTB,VALERIA BEZERRA,1025
1414,PB,PTB,WILLIAM SANTIAGO,321
5014,PB,PSOL,JOSÉ SILVA,1698
4440,PB,PRP,FLAVIO MENEZES,322
33,PB,PMN,PMN,688
3100,PB,PHS,PATRICIA TECKCEL,297
11,MS,PP,PP,8540
13,MA,PT,PT,22161
13,MS,PT,PT,30112
12,ES,PDT,PDT,5601
12,PA,PDT,PDT,7790
12,PB,PDT,PDT,7848
40,MA,PSB,PSB,29601
40,MS,PSB,PSB,3640
96,MA,,NULO,87458
96,PB,,NULO,149343
15,MS,PMDB,PMDB,20003
15,PB,PMDB,PMDB,24442
45,MS,PSDB,PSDB,16160
95,MA,,BRANCO,202315
95,MS,,BRANCO,115560
95,PA,,BRANCO,214643
1313,MT,PT,SÁGUAS MORAES,97858
3344,MT,PMN,SARGENTO VIDAL,2856
4045,MT,PSB,ADILTON SACHETTI,112722
5540,MT,PSD,ELIENE LIMA,43091
5555,MT,PSD,CHICO DALTRO,47340
7777,MT,SD,ROWLES MAGALHÃES,1787
13,MT,PT,PT,16912
40,MT,PSB,PSB,7283
45,MT,PSDB,PSDB,24598
1010,MT,PRB,WASHINGTON BARBOSA,13296
1111,MT,PP,EZEQUIEL FONSECA,90888
4510,MT,PSDB,DR RICARDO SAAD,16848
11,MT,PP,PP,3291
12,MT,PDT,PDT,12639
90,MT,PROS,PROS,917
1333,MT,PT,JUSCI RIBEIRO,18960
14,MT,PTB,PTB,1525
28,MT,PRTB,PRTB,267
5510,MT,PSD,DR. RAFAEL PEREIRA,6472
9011,MT,PROS,TONINHO BORA,2896
19,MT,PTN,PTN,169
33,MT,PMN,PMN,353
50,MT,PSOL,PSOL,1588
4567,MT,PSDB,CHIQUINHO,910
9099,MT,PROS,HILTON GUSMÃO,3532
1012,MT,PRB,ISAC MARQUES,681
5505,MT,PSD,CARLOS MENEGATTI,2545
3621,MT,PTC,FABIO SENNA,4675
4546,MT,PSDB,JOSEFINA ALMEIDA,380
4322,MT,PV,ELIANE LELIS,585
1310,MT,PT,ROBINSON CIREIA,2383
65,MT,PC do B,PC DO B,419
1477,MT,PTB,TEN CEL BOMBEIRO PAULO SELVA,1794
6510,MT,PC do B,PROFESSOR SILVIO NEGRI,1412
5501,MT,PSD,JUAREZ DA GLOBAL,940
2877,MT,PRTB,BENEDITO ALENCASTRO,352
5121,MT,PEN,MARIO MOTO TAXI,2617
5566,MT,PSD,LIZA,78
5588,MT,PSD,REGINA,141
7799,MT,SD,LENINHA ROSSETE,453
5000,MT,PSOL,SUADNA,318
2233,MT,PR,SALVADOR DA PATRIA,245
7080,MT,PT do B,DRAZIO NASCIMENTO,75
2211,MT,PR,MARA LIMA,255
1033,MT,PRB,DRA MARCIA,556
3132,MT,PHS,JAJA SANTOS,413
9030,MT,PROS,VEREADOR DICO,3709
1919,MT,PTN,MARCELO COSTA,44
1313,DF,PT,POLICARPO,48037
1390,DF,PT,PATRICIO,16776
1414,DF,PTB,JURACI TESOURA DE OURO,13600
1513,DF,PMDB,ADALBERTO DE CARVALHO,172
1616,DF,PSTU,MÁCIA TEIXEIRA,4054
2222,DF,PR,LAERTE BESSA,32843
2277,DF,PR,FRANCISCO LUCIO,3684
2322,DF,PPS,ELIANA PEDROSA,55340
3131,DF,PHS,CAROL DOS ANIMAIS,3709
4030,DF,PSB,IGOR TOKARSKI,7161
4343,DF,PV,EDUARDO BRANDÃO,15121
4512,DF,PSDB,ABADIA,37776
4545,DF,PSDB,IZALCI,71937
5005,DF,PSOL,JOSUÉ BARBOSA,474
7777,DF,SD,AUGUSTO CARVALHO,39461
9090,DF,PROS,RONALDO FONSECA,84583
22,DF,PR,PR,5030
40,DF,PSB,PSB,11249
95,DF,,BRANCO,128247
96,DF,,NULO,89944
1010,DF,PRB,VITOR PAULO,71381
1193,DF,PP,WILL GODOY,4004
1221,DF,PDT,SAMARA CONTRA A CORRUPÇÃO,1850
1231,DF,PDT,APÓSTOLO ALCIMAR,1834
1234,DF,PDT,ANDRÉ LIMA,14615
2899,DF,PRTB,PASTORA CONSOLAÇÃO,958
1533,DF,PMDB,CLAUDIA LYRA,2826
1200,DF,PDT,GLEISON WILLY,1144
1599,DF,PMDB,ELIZABETE DO RÊGO,1108
2393,DF,PPS,MELQUÍADES,1369
2800,DF,PRTB,MICHAEL RORIZ,2607
3333,DF,PMN,MARIELA PALMEIRA,145
19,DF,PTN,PTN,269
17,DF,PSL,PSL,246
2929,DF,PCO,JULIANO LOPES,707
70,DF,PT do B,PT DO B,313
5007,DF,PSOL,SERGINHO MAIDEN,374
55,DF,PSD,PSD,1151
4510,DF,PSDB,PROFESSOR COUTINHO,1287
77,DF,SD,SD,289
20,DF,PSC,PSC,815
1001,DF,PRB,DOUTOR PAULO PARACATU,2294
2121,DF,PCB,IGOR LOPES,343
1322,DF,PT,ROMILDA TEIXEIRA,526
2242,DF,PR,PEDRO CORTEZ,176
4044,DF,PSB,LAUDA,1054
2244,DF,PR,DOM BOSCO,145
3633,DF,PTC,NAIDE MAIA,397
4590,DF,PSDB,MAURO LOPES,1267
5009,DF,PSOL,SILVIA DO PSOL,512
2710,MA,PSDC,ZE DO NORDESTE,127
7012,MA,PT do B,APARECIDA CARDOSO,1581
1399,MA,PT,JUCIARA NEGREIROS,43
1597,MA,PMDB,AURILENE DE JESUS,73
2212,MA,PR,ROBERTO LESSA O LUTADOR,297
2899,MA,PRTB,IRMÃ GECILDA,59
5044,MA,PSOL,MARIA ANTÔNIA,164
6520,MA,PC do B,LAYSE RODRIGUES,26
1340,MA,PT,ANA SANTOS,71
6510,BA,PC do B,DAVIDSON MAGALHÃES,65171
9001,BA,PROS,ANA RITA TAVARES,18084
17,BA,PSL,PSL,2432
22,BA,PR,PR,11006
25,BA,DEM,DEM,48655
1233,BA,PDT,SEVERIANO ALVES,28276
1300,BA,PT,CAETANO,125862
1310,BA,PT,VALMIR ASSUNÇÃO,123284
1311,BA,PT,AMAURI TEIXEIRA,50681
1700,BA,PSL,TATIANA PARAÍSO,4978
1980,BA,PTN,SERRAVALLE,2623
2533,BA,DEM,LUCIANO BRAGA,61899
2555,BA,DEM,ALELUIA,101924
2888,BA,PRTB,JOAO DA GALINHA,7449
3636,BA,PTC,RIVAILTON,6189
4013,BA,PSB,BEBETO,96134
4040,BA,PSB,DOMINGOS LEONELLI,21959
4533,BA,PSDB,LUISLINDA VALOIS,9557
4567,BA,PSDB,JOÃO GUALBERTO,117671
5005,BA,PSOL,ZILMAR ALVERITA,4781
5070,BA,PSOL,JAMBEIRO,384
5533,BA,PSD,EDSON PIMENTA,51676
5580,BA,PSD,SÉRGIO BRITO,83658
1516,BA,PMDB,JOSÉ AUGUSTO NOGUEIRA,1609
2882,BA,PRTB,WILLIAN ACHAN,2847
4010,BA,PSB,CAPITAO TADEU,54172
5529,BA,PSD,PAULO MAGALHÃES,77045
1115,BA,PP,CACÁ LEÃO,125605
2552,BA,DEM,ELMAR,88334
5002,BA,PSOL,GUILHERME VASCONCELLOS,399
20,BA,PSC,PSC,8671
43,BA,PV,PV,5385
5081,BA,PSOL,ALANA FERREIRA,854
1133,BA,PP,JOÃO HONORATO,6960
1515,BA,PMDB,ZÉ RAIMUNDO,6241
2040,BA,PSC,EDILSON CARNEIRO,2056
4477,BA,PRP,ALEXANDRE MARQUES,12882
5123,BA,PEN,CEDRAZ,11624
5100,BA,PEN,CRUZ DERMIVAL,1734
5528,BA,PSD,FERNANDO TORRES,66215
2588,BA,DEM,MARCELO MELO,24823
3612,BA,PTC,ZÉ DO LÍCIO,1137
5511,BA,PSD,ANIZETE LABORDA,1768
7001,BA,PT do B,SOLIMAR,475
1334,BA,PT,ELISANGELA ARAUJO,31503
4048,BA,PSB,GERALDO PAPÁ,1080
90,BA,PROS,PROS,1382
3177,BA,PHS,DILZA DALTRO,115
4099,BA,PSB,ALECCIENE,1523
3133,BA,PHS,ROBSON VIGILANTE,719
3600,BA,PTC,SÉRGIO EMÍLIO,5008
5066,BA,PSOL,REINALDO MARTINS,684
1512,BA,PMDB,SAUL LOMANTO,2749
2810,BA,PRTB,ITAIPAVA,63
1122,BA,PP,ÉRICA BATISTA ASSIST. SOCIAL,3246
2801,BA,PRTB,HUMBERTO TEDAO,322
3637,BA,PTC,ULDURICO JUNIOR,39904
4333,BA,PV,RAMON DE SENA,4900
5530,BA,PSD,TABATA,117
2727,BA,PSDC,ALVARO RIOS,1971
1788,BA,PSL,CRISTIANE BACELAR,137
1717,BA,PSL,AMADEUS,4806
7007,BA,PT do B,RICARDO BARBOSA,52
36,BA,PTC,PTC,2763
3601,BA,PTC,JOÃO EVANGELISTA,687
2540,BA,DEM,CONCEIÇÃO LACERDA,254
2877,BA,PRTB,IVAN ANDRADE JUNIOR,514
4431,BA,PRP,SORAIA TAVARES,288
7733,BA,SD,MANOELITO ARGOLO,75
2347,BA,PPS,NEIDE,185
2744,BA,PSDC,KLEBER MORENO,379
4001,BA,PSB,PASTOR ENOQUE,1726
2899,BA,PRTB,ILTON SANTOS,238
4411,BA,PRP,NETO POBRE,175
2825,BA,PRTB,DILSINHO REI MOMO,68
27,BA,PSDC,PSDC,760
2022,BA,PSC,SIMONE OLIVEIRA,718
2002,BA,PSC,YNÁCIA SANTOS,474
